Sample,Baseline-11,OutsideFarm-2,Baseline-8,TxAntibiotic-2,Baseline-26,OutsideFarm-9,Baseline-25,Baseline-29,Baseline-10,Baseline-27,Baseline-13,OutsideFarm-12,OutsideFarm-6,TxAntibiotic-12,Baseline-7,Baseline-31,TxAntibiotic-5,TxAntibiotic-8,Baseline-6,Baseline-33,TxAntibiotic-11,Baseline-19,TxAntibiotic-6,Baseline-23,Baseline-30,TxAntibiotic-7,Baseline-24,Baseline-15,TxAntibiotic-9,Baseline-14,Baseline-1,Baseline-17,TxAntibiotic-3,OutsideFarm-4,Baseline-22,Baseline-9,Baseline-2,Baseline-5,Baseline-16,Baseline-20,Baseline-21,TxAntibiotic-4,OutsideFarm-13,Baseline-32,OutsideFarm-11,TxAntibiotic-1,OutsideFarm-3,OutsideFarm-7,Baseline-12,Baseline-18,OutsideFarm-10,TxAntibiotic-10,OutsideFarm-5,Baseline-28,OutsideFarm-1,Baseline-4,OutsideFarm-8,Baseline-3
TxAntibiotic-3,0.34,0.24,0.54,0.34,0.42,0.58,0.36,0.48,0.34,0.4,0.56,0.42,0.36,0.48,0.3,0.52,0.36,0.54,0.26,0.54,0.7,0.38,0.46,0.44,0.46,0.52,0.44,0.44,0.58,0.36,0.34,0.42,0,0.32,0.34,0.4,0.34,0.42,0.52,0.26,0.64,0.4,0.6,0.4,0.44,0.2,0.32,0.48,0.3,0.36,0.3,0.62,0.36,0.56,0.34,0.52,0.46,0.34
OutsideFarm-4,0.28,0.3,0.44,0.34,0.4,0.52,0.38,0.4,0.3,0.44,0.4,0.36,0.36,0.4,0.28,0.56,0.28,0.38,0.36,0.5,0.62,0.44,0.36,0.42,0.32,0.54,0.4,0.42,0.56,0.3,0.36,0.42,0.32,0,0.3,0.32,0.3,0.2,0.48,0.36,0.6,0.38,0.54,0.46,0.34,0.32,0.3,0.46,0.3,0.34,0.32,0.6,0.42,0.6,0.28,0.5,0.38,0.3
Baseline-22,0.32,0.3,0.54,0.34,0.42,0.56,0.4,0.4,0.34,0.38,0.48,0.38,0.34,0.42,0.34,0.44,0.32,0.48,0.4,0.5,0.58,0.34,0.44,0.46,0.44,0.58,0.44,0.38,0.54,0.32,0.26,0.46,0.34,0.3,0,0.4,0.26,0.22,0.48,0.4,0.56,0.42,0.6,0.46,0.42,0.28,0.36,0.48,0.24,0.3,0.34,0.68,0.4,0.48,0.36,0.44,0.38,0.38
Baseline-9,0.3,0.36,0.46,0.3,0.5,0.54,0.36,0.52,0.4,0.42,0.46,0.36,0.42,0.4,0.32,0.48,0.38,0.42,0.4,0.42,0.58,0.42,0.3,0.38,0.38,0.58,0.36,0.38,0.54,0.42,0.38,0.38,0.4,0.32,0.4,0,0.36,0.22,0.54,0.4,0.6,0.4,0.5,0.46,0.3,0.42,0.36,0.48,0.34,0.38,0.3,0.6,0.4,0.52,0.46,0.58,0.36,0.3
Baseline-2,0.36,0.24,0.54,0.3,0.42,0.54,0.46,0.5,0.22,0.44,0.48,0.42,0.34,0.44,0.22,0.5,0.32,0.54,0.4,0.52,0.6,0.4,0.34,0.46,0.4,0.62,0.4,0.42,0.54,0.34,0.32,0.34,0.34,0.3,0.26,0.36,0,0.28,0.54,0.3,0.52,0.4,0.52,0.42,0.4,0.28,0.32,0.5,0.26,0.38,0.24,0.6,0.36,0.54,0.38,0.56,0.38,0.34
Baseline-5,0.28,0.28,0.46,0.34,0.4,0.5,0.34,0.46,0.32,0.44,0.38,0.44,0.38,0.36,0.34,0.46,0.34,0.42,0.44,0.52,0.6,0.36,0.38,0.4,0.36,0.6,0.38,0.34,0.54,0.36,0.28,0.4,0.42,0.2,0.22,0.22,0.28,0,0.46,0.44,0.54,0.4,0.56,0.44,0.26,0.32,0.34,0.48,0.26,0.34,0.28,0.64,0.38,0.48,0.36,0.48,0.32,0.28
Baseline-16,0.44,0.54,0.34,0.52,0.6,0.32,0.5,0.58,0.48,0.6,0.4,0.46,0.54,0.54,0.56,0.66,0.5,0.52,0.52,0.62,0.6,0.52,0.6,0.58,0.58,0.64,0.56,0.58,0.56,0.5,0.48,0.54,0.52,0.48,0.48,0.54,0.54,0.46,0,0.5,0.72,0.52,0.64,0.64,0.56,0.52,0.48,0.58,0.4,0.52,0.54,0.62,0.6,0.6,0.46,0.24,0.56,0.44
Baseline-20,0.42,0.34,0.5,0.32,0.52,0.54,0.38,0.56,0.34,0.52,0.46,0.44,0.52,0.5,0.38,0.58,0.44,0.56,0.4,0.46,0.62,0.48,0.44,0.6,0.4,0.62,0.38,0.38,0.52,0.38,0.38,0.44,0.26,0.36,0.4,0.4,0.3,0.44,0.5,0,0.62,0.42,0.6,0.5,0.44,0.4,0.42,0.56,0.36,0.5,0.36,0.54,0.44,0.68,0.4,0.54,0.5,0.4
Baseline-21,0.48,0.58,0.74,0.62,0.6,0.72,0.6,0.62,0.52,0.58,0.74,0.64,0.58,0.56,0.58,0.62,0.62,0.66,0.64,0.6,0.7,0.56,0.64,0.64,0.58,0.66,0.56,0.52,0.52,0.6,0.58,0.6,0.64,0.6,0.56,0.6,0.52,0.54,0.72,0.62,0,0.64,0.58,0.68,0.58,0.6,0.64,0.6,0.58,0.62,0.58,0.64,0.66,0.7,0.6,0.76,0.52,0.62
TxAntibiotic-4,0.44,0.42,0.46,0.34,0.52,0.46,0.3,0.48,0.32,0.46,0.46,0.48,0.4,0.4,0.38,0.5,0.4,0.46,0.36,0.5,0.66,0.38,0.28,0.46,0.38,0.52,0.46,0.54,0.48,0.36,0.4,0.52,0.4,0.38,0.42,0.4,0.4,0.4,0.52,0.42,0.64,0,0.52,0.52,0.52,0.4,0.4,0.56,0.42,0.38,0.42,0.64,0.44,0.58,0.44,0.46,0.46,0.36
OutsideFarm-13,0.56,0.56,0.6,0.52,0.62,0.64,0.58,0.66,0.48,0.54,0.68,0.64,0.6,0.56,0.54,0.62,0.54,0.6,0.52,0.6,0.64,0.58,0.48,0.52,0.58,0.6,0.66,0.6,0.6,0.6,0.58,0.54,0.6,0.54,0.6,0.5,0.52,0.56,0.64,0.6,0.58,0.52,0,0.62,0.6,0.56,0.56,0.64,0.6,0.62,0.58,0.64,0.6,0.68,0.6,0.68,0.6,0.58
Baseline-32,0.48,0.44,0.58,0.4,0.48,0.58,0.44,0.58,0.5,0.48,0.5,0.54,0.4,0.48,0.46,0.58,0.5,0.5,0.54,0.62,0.68,0.52,0.52,0.44,0.52,0.62,0.52,0.48,0.58,0.42,0.42,0.52,0.4,0.46,0.46,0.46,0.42,0.44,0.64,0.5,0.68,0.52,0.62,0,0.46,0.42,0.54,0.58,0.44,0.5,0.4,0.66,0.46,0.48,0.5,0.62,0.44,0.46
OutsideFarm-11,0.38,0.44,0.58,0.46,0.46,0.62,0.44,0.54,0.38,0.38,0.52,0.46,0.42,0.42,0.42,0.52,0.42,0.46,0.48,0.48,0.62,0.48,0.46,0.5,0.38,0.6,0.44,0.42,0.56,0.4,0.36,0.42,0.44,0.34,0.42,0.3,0.4,0.26,0.56,0.44,0.58,0.52,0.6,0.46,0,0.42,0.46,0.52,0.44,0.46,0.38,0.7,0.4,0.46,0.38,0.62,0.34,0.44
TxAntibiotic-1,0.34,0.28,0.52,0.3,0.44,0.56,0.38,0.48,0.24,0.4,0.48,0.48,0.32,0.4,0.28,0.52,0.32,0.58,0.42,0.5,0.64,0.36,0.38,0.42,0.46,0.48,0.48,0.34,0.54,0.42,0.28,0.36,0.2,0.32,0.28,0.42,0.28,0.32,0.52,0.4,0.6,0.4,0.56,0.42,0.42,0,0.34,0.52,0.3,0.36,0.3,0.62,0.34,0.54,0.36,0.5,0.38,0.4
OutsideFarm-3,0.36,0.4,0.42,0.38,0.44,0.58,0.54,0.46,0.36,0.5,0.44,0.46,0.32,0.52,0.4,0.56,0.32,0.44,0.46,0.52,0.66,0.48,0.44,0.48,0.48,0.6,0.52,0.52,0.6,0.46,0.42,0.48,0.32,0.3,0.36,0.36,0.32,0.34,0.48,0.42,0.64,0.4,0.56,0.54,0.46,0.34,0,0.46,0.36,0.38,0.34,0.66,0.46,0.54,0.36,0.5,0.44,0.44
OutsideFarm-7,0.52,0.5,0.6,0.48,0.58,0.66,0.54,0.58,0.5,0.5,0.56,0.52,0.56,0.54,0.52,0.56,0.54,0.42,0.54,0.52,0.68,0.48,0.54,0.5,0.58,0.5,0.52,0.58,0.68,0.48,0.58,0.46,0.48,0.46,0.48,0.48,0.5,0.48,0.58,0.56,0.6,0.56,0.64,0.58,0.52,0.52,0.46,0,0.52,0.48,0.52,0.56,0.56,0.56,0.52,0.64,0.58,0.48
Baseline-12,0.28,0.28,0.4,0.28,0.48,0.48,0.4,0.44,0.3,0.42,0.44,0.34,0.34,0.4,0.26,0.52,0.24,0.46,0.36,0.48,0.56,0.36,0.4,0.4,0.5,0.62,0.38,0.42,0.48,0.44,0.22,0.48,0.3,0.3,0.24,0.34,0.26,0.26,0.4,0.36,0.58,0.42,0.6,0.44,0.44,0.3,0.36,0.52,0,0.28,0.28,0.58,0.4,0.48,0.38,0.42,0.42,0.32
Baseline-18,0.38,0.38,0.5,0.34,0.52,0.62,0.38,0.46,0.38,0.44,0.58,0.38,0.36,0.42,0.36,0.48,0.36,0.42,0.42,0.52,0.58,0.28,0.36,0.42,0.48,0.6,0.46,0.44,0.52,0.44,0.32,0.48,0.36,0.34,0.3,0.38,0.38,0.34,0.52,0.5,0.62,0.38,0.62,0.5,0.46,0.36,0.38,0.48,0.28,0,0.36,0.66,0.38,0.48,0.5,0.48,0.36,0.36
OutsideFarm-10,0.38,0.4,0.44,0.3,0.48,0.54,0.46,0.48,0.36,0.42,0.46,0.44,0.32,0.48,0.3,0.56,0.36,0.5,0.4,0.54,0.64,0.44,0.42,0.4,0.4,0.64,0.38,0.42,0.6,0.38,0.3,0.46,0.3,0.32,0.34,0.3,0.24,0.28,0.54,0.36,0.58,0.42,0.58,0.4,0.38,0.3,0.34,0.52,0.28,0.36,0,0.66,0.4,0.54,0.42,0.56,0.32,0.3
TxAntibiotic-10,0.58,0.6,0.62,0.58,0.72,0.66,0.56,0.64,0.6,0.62,0.56,0.62,0.7,0.58,0.58,0.62,0.6,0.64,0.62,0.6,0.68,0.62,0.62,0.64,0.62,0.66,0.64,0.56,0.64,0.64,0.66,0.62,0.62,0.6,0.68,0.6,0.6,0.64,0.62,0.54,0.64,0.64,0.64,0.66,0.7,0.62,0.66,0.56,0.58,0.66,0.66,0,0.74,0.68,0.64,0.6,0.64,0.6
OutsideFarm-5,0.48,0.34,0.56,0.36,0.4,0.62,0.38,0.56,0.38,0.44,0.54,0.5,0.44,0.46,0.4,0.56,0.5,0.5,0.52,0.4,0.68,0.38,0.4,0.4,0.48,0.58,0.46,0.46,0.58,0.44,0.3,0.38,0.36,0.42,0.4,0.4,0.36,0.38,0.6,0.44,0.66,0.44,0.6,0.46,0.4,0.34,0.46,0.56,0.4,0.38,0.4,0.74,0,0.5,0.46,0.58,0.42,0.5
Baseline-28,0.52,0.54,0.6,0.56,0.6,0.66,0.52,0.62,0.5,0.46,0.58,0.52,0.48,0.54,0.54,0.52,0.52,0.48,0.58,0.6,0.68,0.54,0.52,0.46,0.64,0.7,0.58,0.6,0.68,0.52,0.48,0.56,0.56,0.6,0.48,0.52,0.54,0.48,0.6,0.68,0.7,0.58,0.68,0.48,0.46,0.54,0.54,0.56,0.48,0.48,0.54,0.68,0.5,0,0.54,0.58,0.52,0.52
