Sample,Baseline-11,OutsideFarm-2,Baseline-8,TxAntibiotic-2,Baseline-26,OutsideFarm-9,Baseline-25,Baseline-29,Baseline-10,Baseline-27,Baseline-13,OutsideFarm-12,OutsideFarm-6,TxAntibiotic-12,Baseline-7,Baseline-31,TxAntibiotic-5,TxAntibiotic-8,Baseline-6,Baseline-33,TxAntibiotic-11,Baseline-19,TxAntibiotic-6,Baseline-23,Baseline-30,TxAntibiotic-7,Baseline-24,Baseline-15,TxAntibiotic-9,Baseline-14,Baseline-1,Baseline-17,TxAntibiotic-3,OutsideFarm-4,Baseline-22,Baseline-9,Baseline-2,Baseline-5,Baseline-16,Baseline-20,Baseline-21,TxAntibiotic-4,OutsideFarm-13,Baseline-32,OutsideFarm-11,TxAntibiotic-1,OutsideFarm-3,OutsideFarm-7,Baseline-12,Baseline-18,OutsideFarm-10,TxAntibiotic-10,OutsideFarm-5,Baseline-28,OutsideFarm-1,Baseline-4,OutsideFarm-8,Baseline-3
TxAntibiotic-11,0.569,0.6429,0.6325,0.49755,0.58015,0.65525,0.6403,0.5882,0.5629,0.6068,0.61195,0.48755,0.56665,0.45395,0.5517,0.6154,0.51495,0.6493,0.654,0.53205,0,0.56845,0.5996,0.5733,0.6469,0.6169,0.60885,0.5226,0.55995,0.6303,0.5871,0.60635,0.6776,0.58865,0.55095,0.54535,0.5671,0.56365,0.56995,0.5969,0.6659,0.62435,0.6172,0.657,0.5763,0.6183,0.62895,0.6449,0.5325,0.5497,0.6087,0.64955,0.65635,0.6484,0.58705,0.61935,0.54375,0.55
Baseline-19,0.3116,0.32535,0.5288,0.3611,0.4161,0.5527,0.3081,0.4656,0.3267,0.4379,0.57605,0.4251,0.3391,0.3528,0.34625,0.4219,0.4025,0.48005,0.38285,0.4993,0.56845,0,0.3293,0.4181,0.4102,0.48505,0.4585,0.3657,0.50475,0.429,0.3884,0.43905,0.35715,0.41445,0.3202,0.39845,0.37575,0.3334,0.4796,0.4501,0.5149,0.35625,0.54745,0.49565,0.4505,0.33605,0.46075,0.4569,0.3433,0.2673,0.41535,0.5877,0.3659,0.5195,0.48785,0.4742,0.35665,0.3708
TxAntibiotic-6,0.3965,0.36575,0.47365,0.32545,0.53805,0.4993,0.3057,0.54925,0.2934,0.46075,0.50485,0.39435,0.44125,0.4021,0.36095,0.45655,0.3192,0.35555,0.40405,0.44025,0.5996,0.3293,0,0.4464,0.40915,0.53645,0.43345,0.41725,0.53085,0.3764,0.4312,0.38345,0.434,0.33535,0.41355,0.2874,0.32705,0.35875,0.55545,0.41715,0.6055,0.2609,0.45005,0.4978,0.43915,0.3547,0.41385,0.52475,0.38715,0.33575,0.40335,0.5935,0.3851,0.5037,0.4565,0.52755,0.3566,0.3802
Baseline-23,0.4027,0.41475,0.53905,0.37595,0.3517,0.5878,0.39185,0.51465,0.39725,0.37585,0.5743,0.4407,0.3772,0.361,0.37645,0.46765,0.43575,0.39665,0.34925,0.51035,0.5733,0.4181,0.4464,0,0.49175,0.5374,0.5159,0.46495,0.59005,0.41195,0.4453,0.45395,0.42955,0.39705,0.4295,0.3498,0.42795,0.3745,0.5525,0.5745,0.6036,0.43445,0.497,0.4229,0.4639,0.40885,0.45795,0.4731,0.3795,0.3987,0.3817,0.61435,0.3713,0.43795,0.3966,0.5949,0.41555,0.3181
Baseline-30,0.3277,0.40915,0.5701,0.4174,0.50005,0.5474,0.3246,0.39905,0.3616,0.5343,0.4836,0.4286,0.44835,0.46195,0.36125,0.4875,0.4521,0.47635,0.38025,0.51295,0.6469,0.4102,0.40915,0.49175,0,0.6428,0.47605,0.45125,0.58895,0.38345,0.4387,0.45255,0.4307,0.3082,0.4178,0.35155,0.3773,0.338,0.5378,0.37375,0.542,0.35355,0.54655,0.49835,0.36855,0.43245,0.46195,0.55745,0.4714,0.46165,0.3786,0.59095,0.46385,0.6174,0.41185,0.5125,0.3074,0.38925
TxAntibiotic-7,0.54965,0.5471,0.6065,0.489,0.51655,0.6123,0.56525,0.57235,0.5053,0.54765,0.58375,0.5874,0.4963,0.4962,0.5239,0.59815,0.55685,0.62505,0.48955,0.4304,0.6169,0.48505,0.53645,0.5374,0.6428,0,0.59075,0.5356,0.59145,0.5711,0.5797,0.47235,0.50005,0.5288,0.54935,0.5488,0.59475,0.5726,0.6121,0.60405,0.61255,0.4927,0.569,0.60735,0.567,0.46005,0.5815,0.4746,0.60005,0.56945,0.6237,0.6165,0.5659,0.66985,0.49055,0.57195,0.57435,0.5204
Baseline-24,0.388,0.4092,0.52935,0.38945,0.471,0.5506,0.375,0.5735,0.3716,0.4132,0.4815,0.43305,0.4084,0.41415,0.38205,0.61955,0.421,0.50915,0.4818,0.46745,0.60885,0.4585,0.43345,0.5159,0.47605,0.59075,0,0.49745,0.5382,0.3913,0.41055,0.44385,0.4303,0.3759,0.40625,0.34485,0.374,0.3529,0.5401,0.3779,0.53695,0.44555,0.6391,0.494,0.41025,0.46165,0.5081,0.4953,0.36515,0.43685,0.3633,0.62625,0.4456,0.5617,0.4759,0.5544,0.42345,0.3726
Baseline-15,0.34865,0.3885,0.5075,0.3352,0.44155,0.55235,0.38455,0.5442,0.3743,0.55365,0.45765,0.4625,0.4727,0.3914,0.3563,0.4465,0.41985,0.5164,0.48245,0.4493,0.5226,0.3657,0.41725,0.46495,0.45125,0.5356,0.49745,0,0.53365,0.4967,0.3646,0.42095,0.40845,0.403,0.36265,0.35935,0.39065,0.32005,0.54195,0.35545,0.49415,0.5078,0.5701,0.4548,0.39285,0.3169,0.49925,0.5557,0.3925,0.416,0.38615,0.52325,0.42995,0.5771,0.4329,0.55035,0.37025,0.39395
TxAntibiotic-9,0.4744,0.553,0.59055,0.5082,0.57715,0.6115,0.4746,0.6047,0.4204,0.4864,0.62635,0.54285,0.51365,0.47755,0.49265,0.65615,0.4859,0.55365,0.56505,0.4808,0.55995,0.50475,0.53085,0.59005,0.58895,0.59145,0.5382,0.53365,0,0.4876,0.46685,0.54185,0.5538,0.5362,0.51045,0.5138,0.50995,0.5086,0.5222,0.49435,0.49545,0.45465,0.5683,0.56315,0.53625,0.5142,0.5707,0.6441,0.45045,0.4913,0.5682,0.6069,0.57385,0.6623,0.53385,0.6026,0.4723,0.5815
Baseline-14,0.4336,0.4154,0.50165,0.39055,0.3535,0.5154,0.35725,0.4021,0.3335,0.36735,0.44475,0.3436,0.3698,0.38175,0.37275,0.4588,0.3696,0.33675,0.35195,0.49795,0.6303,0.429,0.3764,0.41195,0.38345,0.5711,0.3913,0.4967,0.4876,0,0.3639,0.46155,0.3468,0.28255,0.2915,0.38445,0.319,0.3285,0.4661,0.36385,0.56895,0.3346,0.5747,0.395,0.3682,0.3963,0.439,0.4605,0.40505,0.4049,0.35485,0.61785,0.41875,0.48845,0.29845,0.45135,0.4329,0.3448
Baseline-1,0.3431,0.33235,0.425,0.2674,0.43075,0.53575,0.3776,0.4548,0.33975,0.3325,0.45145,0.4229,0.3101,0.3988,0.3031,0.4738,0.33475,0.4891,0.39235,0.42165,0.5871,0.3884,0.4312,0.4453,0.4387,0.5797,0.41055,0.3646,0.46685,0.3639,0,0.44445,0.3118,0.34215,0.2349,0.34545,0.2868,0.2551,0.4529,0.35525,0.5546,0.3775,0.5524,0.38345,0.33015,0.2555,0.394,0.54705,0.1981,0.29795,0.2653,0.62495,0.2762,0.4496,0.3586,0.45635,0.39605,0.3609
Baseline-17,0.39235,0.32425,0.63975,0.43665,0.4407,0.5744,0.44075,0.62875,0.3026,0.4595,0.54645,0.4717,0.47715,0.4034,0.4019,0.56025,0.4721,0.5435,0.5064,0.45805,0.60635,0.43905,0.38345,0.45395,0.45255,0.47235,0.44385,0.42095,0.54185,0.46155,0.44445,0,0.39895,0.4084,0.4453,0.3624,0.32815,0.3857,0.5182,0.4185,0.5549,0.493,0.51655,0.50975,0.4003,0.3535,0.458,0.43835,0.45855,0.4582,0.44385,0.5913,0.37925,0.5513,0.40465,0.577,0.41985,0.41685
TxAntibiotic-3,0.31985,0.20845,0.51195,0.3162,0.39735,0.56385,0.3482,0.44825,0.315,0.38465,0.5394,0.40425,0.3441,0.4623,0.2754,0.49715,0.3425,0.53,0.24585,0.5186,0.6776,0.35715,0.434,0.42955,0.4307,0.50005,0.4303,0.40845,0.5538,0.3468,0.3118,0.39895,0,0.30825,0.3182,0.3807,0.3149,0.3951,0.4918,0.2419,0.6024,0.37715,0.57,0.38065,0.4209,0.18315,0.30445,0.46565,0.2782,0.34635,0.28085,0.5878,0.3381,0.53775,0.3218,0.49265,0.44085,0.32145
OutsideFarm-4,0.26255,0.2958,0.4012,0.31775,0.3758,0.49555,0.3586,0.367,0.2787,0.4106,0.38445,0.3288,0.33335,0.37065,0.25805,0.5434,0.247,0.3535,0.33645,0.4771,0.58865,0.41445,0.33535,0.39705,0.3082,0.5288,0.3759,0.403,0.5362,0.28255,0.34215,0.4084,0.30825,0,0.277,0.296,0.2759,0.18805,0.44675,0.34465,0.5704,0.3626,0.51435,0.4379,0.3195,0.31715,0.2807,0.4454,0.2784,0.3138,0.29635,0.5824,0.408,0.5736,0.2571,0.474,0.35895,0.2672
Baseline-22,0.3037,0.291,0.50165,0.3091,0.384,0.53975,0.3721,0.36025,0.3194,0.346,0.4623,0.3509,0.30465,0.37905,0.3127,0.42555,0.2968,0.44935,0.36995,0.47145,0.55095,0.3202,0.41355,0.4295,0.4178,0.54935,0.40625,0.36265,0.51045,0.2915,0.2349,0.4453,0.3182,0.277,0,0.3654,0.24575,0.2011,0.452,0.3798,0.53185,0.3885,0.5732,0.42665,0.3812,0.26585,0.3396,0.4561,0.2202,0.28105,0.31455,0.6568,0.3745,0.45025,0.3333,0.4214,0.3601,0.34435
Baseline-9,0.2834,0.3473,0.43295,0.27505,0.4644,0.5203,0.32555,0.47885,0.36785,0.3918,0.4353,0.32615,0.38515,0.3703,0.29835,0.45465,0.35485,0.39015,0.36765,0.38955,0.54535,0.39845,0.2874,0.3498,0.35155,0.5488,0.34485,0.35935,0.5138,0.38445,0.34545,0.3624,0.3807,0.296,0.3654,0,0.3269,0.1995,0.50335,0.378,0.5721,0.3767,0.46995,0.43345,0.27595,0.3973,0.3357,0.45025,0.3168,0.35185,0.2826,0.57555,0.37515,0.49095,0.4229,0.5501,0.3335,0.2696
Baseline-2,0.3331,0.2269,0.50105,0.2666,0.39825,0.51715,0.43135,0.4628,0.209,0.4036,0.45075,0.39025,0.31945,0.4011,0.1964,0.48625,0.29705,0.50965,0.37195,0.49815,0.5671,0.37575,0.32705,0.42795,0.3773,0.59475,0.374,0.39065,0.50995,0.319,0.2868,0.32815,0.3149,0.2759,0.24575,0.3269,0,0.2524,0.5115,0.28015,0.49105,0.37775,0.4938,0.39115,0.36755,0.26515,0.30545,0.47845,0.2325,0.35535,0.2128,0.56685,0.3365,0.51605,0.3551,0.5316,0.3586,0.3037
Baseline-5,0.2589,0.2739,0.4265,0.31015,0.36945,0.4783,0.31575,0.41625,0.29635,0.4081,0.3621,0.4008,0.3447,0.32375,0.31455,0.441,0.3157,0.3916,0.40545,0.4908,0.56365,0.3334,0.35875,0.3745,0.338,0.5726,0.3529,0.32005,0.5086,0.3285,0.2551,0.3857,0.3951,0.18805,0.2011,0.1995,0.2524,0,0.4284,0.4124,0.49995,0.3712,0.53335,0.41445,0.23805,0.30975,0.32105,0.4554,0.2394,0.31355,0.25445,0.6169,0.3604,0.46175,0.33745,0.4546,0.29695,0.24855
Baseline-16,0.40825,0.5104,0.31195,0.48275,0.56925,0.2922,0.4617,0.54375,0.4422,0.5742,0.36755,0.43265,0.5083,0.5019,0.5271,0.6296,0.4706,0.48695,0.48295,0.5994,0.56995,0.4796,0.55545,0.5525,0.5378,0.6121,0.5401,0.54195,0.5222,0.4661,0.4529,0.5182,0.4918,0.44675,0.452,0.50335,0.5115,0.4284,0,0.4675,0.6745,0.4783,0.60295,0.61085,0.5264,0.4928,0.46035,0.55435,0.3774,0.492,0.51015,0.5909,0.5758,0.5781,0.4445,0.22175,0.51745,0.4115
Baseline-20,0.3917,0.3013,0.4704,0.30625,0.49155,0.5122,0.36085,0.5292,0.32015,0.49265,0.4412,0.42065,0.491,0.47635,0.35475,0.55035,0.41525,0.5422,0.38215,0.4456,0.5969,0.4501,0.41715,0.5745,0.37375,0.60405,0.3779,0.35545,0.49435,0.36385,0.35525,0.4185,0.2419,0.34465,0.3798,0.378,0.28015,0.4124,0.4675,0,0.59655,0.39915,0.57445,0.4706,0.41875,0.3743,0.4002,0.5445,0.33395,0.47985,0.33435,0.5144,0.41535,0.65535,0.382,0.51145,0.46885,0.3787
Baseline-21,0.4368,0.5388,0.71005,0.5923,0.5624,0.6948,0.56615,0.57655,0.4861,0.54505,0.7117,0.60605,0.54625,0.5236,0.5521,0.58995,0.5873,0.6335,0.59055,0.58695,0.6659,0.5149,0.6055,0.6036,0.542,0.61255,0.53695,0.49415,0.49545,0.56895,0.5546,0.5549,0.6024,0.5704,0.53185,0.5721,0.49105,0.49995,0.6745,0.59655,0,0.60365,0.54065,0.65035,0.5415,0.5622,0.61565,0.56925,0.5558,0.59075,0.5495,0.5997,0.63225,0.6682,0.56515,0.71705,0.4779,0.582
TxAntibiotic-4,0.40845,0.39015,0.4397,0.3229,0.4941,0.4341,0.2709,0.4435,0.2902,0.43955,0.43715,0.44915,0.38035,0.3783,0.36955,0.4669,0.3764,0.44225,0.3372,0.4805,0.62435,0.35625,0.2609,0.43445,0.35355,0.4927,0.44555,0.5078,0.45465,0.3346,0.3775,0.493,0.37715,0.3626,0.3885,0.3767,0.37775,0.3712,0.4783,0.39915,0.60365,0,0.49625,0.4948,0.492,0.3692,0.3867,0.5357,0.3986,0.3607,0.39835,0.60645,0.42375,0.54875,0.40955,0.4203,0.4312,0.3371
OutsideFarm-13,0.5208,0.527,0.5728,0.49575,0.59295,0.62865,0.54335,0.62735,0.4491,0.5105,0.65185,0.6077,0.57495,0.53195,0.5162,0.5924,0.5057,0.57205,0.4802,0.5764,0.6172,0.54745,0.45005,0.497,0.54655,0.569,0.6391,0.5701,0.5683,0.5747,0.5524,0.51655,0.57,0.51435,0.5732,0.46995,0.4938,0.53335,0.60295,0.57445,0.54065,0.49625,0,0.60095,0.575,0.53215,0.5308,0.6153,0.5716,0.58905,0.56215,0.5945,0.57005,0.66295,0.5724,0.6468,0.56405,0.55435
Baseline-32,0.45695,0.41665,0.5472,0.36975,0.4582,0.56985,0.4272,0.54215,0.47525,0.45095,0.48025,0.50425,0.3711,0.45,0.4313,0.56565,0.47555,0.48075,0.51425,0.593,0.657,0.49565,0.4978,0.4229,0.49835,0.60735,0.494,0.4548,0.56315,0.395,0.38345,0.50975,0.38065,0.4379,0.42665,0.43345,0.39115,0.41445,0.61085,0.4706,0.65035,0.4948,0.60095,0,0.42785,0.38565,0.50965,0.564,0.41235,0.46875,0.37135,0.6352,0.43385,0.4613,0.47635,0.5902,0.41855,0.4352
