ECcode,OutsideFarm-11,TxAntibiotic-9,Baseline-26,Baseline-25,OutsideFarm-1,Neg-DNAextr,Baseline-17,TxAntibiotic-1,OutsideFarm-13,Baseline-9,TxAntibiotic-10,OutsideFarm-9,Baseline-24,Baseline-14,Baseline-1,TxAntibiotic-4,Baseline-32,Baseline-4,TxAntibiotic-8,Baseline-30,Neg-DNAextr,Baseline-15,OutsideFarm-2,Neg-DNAextr,Baseline-6,Baseline-33,Baseline-29,Baseline-2,Neg-DNAextr,Baseline-8,Baseline-19,Baseline-28,Baseline-18,Baseline-31,OutsideFarm-4,SequencingBlank,TxAntibiotic-3,Neg-DNAextr,TxAntibiotic-5,Baseline-23,TxAntibiotic-6,Baseline-22,Baseline-27,TxAntibiotic-7,Baseline-12,Baseline-21,Neg-DNAextr,Baseline-20,OutsideFarm-5,Baseline-16,OutsideFarm-7,Kefir,OutsideFarm-6,Baseline-5,OutsideFarm-10,Baseline-13,Baseline-7,OutsideFarm-12,Baseline-3,TxAntibiotic-11,OutsideFarm-8,TxAntibiotic-12,TxAntibiotic-2,OutsideFarm-3,Baseline-10,Baseline-11
1.14.18.2,122.06,44.181,35.871,70.951,67.771,2.0685,133.25,61.589,299.99,84.545,106.71,180.67,61.895,43.734,73.052,46.911,103.3,152.67,58.026,72.042,3.0933,48.721,47.068,1.0396,82.544,61.909,74.192,33.455,3.1011,101.41,39.558,218.98,48.851,96.315,53.37,1.035,57.417,1.0365,70.983,45.577,58.197,57.28,134.21,66.852,84.481,148.69,0,55.291,75.032,109.79,78.381,1519.9,63.683,75.226,47.042,154.56,66.955,79.611,48.111,34.004,58.068,63.244,96.188,73.166,59.546,62.664
1.1.1.17,2079.4,944.59,987.37,1657,1649.4,46.391,2269.7,1131.1,5417.8,1735.5,2403.5,3108.3,1884.2,1251.4,1568.5,1005.3,1688.4,2358.9,848.52,1600.4,156.17,621.74,1337.3,37.245,1372.7,1083.3,1583,1315.5,33.981,1746.3,890.9,3061.3,908.74,1220.5,1438.3,26.355,1710.8,39.15,1565.7,1055,921.25,888.14,2617.7,1270.4,1647.4,1845.3,47.661,1301.4,1224,1734.7,1420.2,73277,1455.5,1727.8,1085.4,2249.7,1204,1025.1,1354.7,686.4,1214.8,1003.8,1691.5,1550,1528.8,1452.3
1.14.19.17,37.557,2.0549,18.448,14.608,38.577,0,14.461,7.3071,26.803,18.788,46.173,28.197,6.1895,24.991,6.2616,5.2123,15.651,19.867,6.217,9.3967,19.591,2.0732,7.3217,0,10.449,5.1591,11.495,15.682,0,10.454,3.123,16.527,10.394,13.32,2.0929,1.035,48.022,0,15.658,6.215,5.1962,10.415,17.55,31.883,9.3867,34.076,0,8.3458,26.053,9.4108,15.47,10220,14.616,17.762,5.2269,16.71,3.1385,9.3052,17.78,2.0608,10.369,10.368,18.819,11.497,7.3127,13.577
1.1.1.18,1077.4,220.79,199.97,893.55,809.8,20.033,1004.4,614.55,1089.6,869.34,571.92,2819.9,813.38,679.46,864.78,485.05,924.55,2028.4,387.14,790.12,74.919,220.31,688.96,22.347,820.2,315.21,895.43,684.47,5.3095,1430.5,390.17,1389,450.11,325.2,875.82,8.4337,830.88,7.4067,929.59,367.87,439.91,398.39,1141.8,386.46,945.62,647.32,15.887,715.78,589.14,1475.5,635.66,26137,761.38,1038.4,582.13,1791.2,697.18,356.09,722.71,255.04,502.2,447.41,1056.6,861.96,816.79,748.57
1.14.99.46,224.3,80.143,49.195,250.41,233.55,4.137,238.61,184.77,334.01,248.42,190.85,538.88,314.63,157.23,247.33,157.41,249.38,486.23,110.87,220.3,16.498,79.819,205.01,2.0793,170.31,121.75,204.81,203.87,1.0337,319.9,129.09,335.7,123.69,79.921,159.06,8.2798,250.55,6.2188,208.77,119.12,99.767,118.73,256.02,129.59,292.03,216.85,5.1828,247.25,163.61,305.33,194.92,3176.2,245.34,271.65,135.9,416.7,213.42,98.221,209.18,117.47,124.43,110.94,269.74,214.27,201.62,223.5
1.14.99.50,2785.5,831.22,533.97,2387.3,2097.8,58.952,2589.6,1599.2,3268,2636.6,1787.4,7347,2096.2,1894.1,2307.4,1453.2,2354,5240.8,1149.1,2118.4,144.35,659.29,1958,72.774,1832.7,816.17,2400.3,1870.4,29.978,4288.4,1095.1,4067.7,1294,1135.3,2204.9,33.119,2161,51.823,2580.4,1073.1,1303.2,1042.5,3101.2,1118,2477.1,1627.4,40.426,2048.9,1687.2,3805.1,1693.4,42453,2134.9,2882.6,1535.7,5423.3,1762.8,932.58,1985.1,631.64,1271.3,1432.8,2756,2218,2074.7,1906
1.1.5.12,1513.3,620.57,536.25,1124.3,1334.2,23.801,1909.7,844.97,2335.3,1289.4,1455.3,2085.2,1120.4,910.52,1093.9,690.37,1046.7,1639.6,533.69,1023.5,230.38,372.2,966.65,29.118,964.59,665.73,1168.7,917.13,27.91,1231.9,552.96,2118.1,619.54,899.3,970.45,21.734,1228.6,30.066,1200.1,598.06,573.87,597.99,1860.5,843.57,1177.9,1723.6,19.695,953.88,1050.6,1244.4,1181.3,1.01E+05,1031.4,1227.3,610.74,1741.9,935.58,592.64,915.41,458.61,723.96,787.2,1249.2,937.85,1079.4,911.52
1.1.5.2,113.76,45.207,38.963,102.31,69.894,5.1742,146.74,92.957,491.8,96.053,166.26,121.43,80.468,59.382,81.42,67.786,102.27,131.92,46.724,68.927,7.2317,30.066,71.139,4.1597,51.208,74.314,125.44,77.386,3.1011,76.407,47.902,179.78,57.172,107.55,69.093,4.1399,76.266,5.1838,88.781,51.825,55.1,53.132,154.87,54.524,118.94,93.977,0,78.273,63.577,72.216,103.17,863.82,69.941,126.49,58.564,97.177,58.604,46.542,79.51,49.468,63.269,73.638,98.35,76.325,81.5,41.813
1.1.5.3,16953,6040.3,4807.8,13762,13607,337.36,18514,10006,31671,15346,12894,31284,13310,10472,14933,8565,15046,26383,6431.2,13589,904.99,4644.7,11710,350.46,11971,6569.6,16245,11085,216.05,18807,7027.1,22042,7175.6,7148.3,12438,242.18,13561,332.8,14188,6979.8,7388.6,7011.3,20565,7732.1,14415,20581,315.11,11400,9980.5,18037,10758,3.12E+05,12820,16865,9691.3,23375,11576,7024.8,12199,4972.6,8699.9,8303.5,15773,12868,12235,12382
1.1.5.4,3663.2,1824.7,1188.4,2818.7,2959.6,93.135,5081.2,2091,24785,3235.5,5849.8,7302.4,4312.3,2282.6,3024,1793.7,3316.6,5645.5,1716.3,2986.8,277.9,1080.3,2461.6,82.154,2314.8,1731.9,3512.3,2442.9,47.551,4116.6,1678.7,7105.4,1795.2,3066.6,2326.1,44.504,2962.9,75.684,2905.8,1750.7,1880.7,1540.8,5104.6,2879.5,2977.7,3930.5,76.705,2420.2,2262.7,3937.3,2910.5,99017,2687,3462.3,1816.5,5205.7,2280.3,1794.5,2353.9,1772.6,2276.6,2127.2,3508.2,2621.2,2605.9,2263.1
1.16.3.1,5.216,5.1357,2.0498,9.3906,5.2132,1.0342,23.754,4.1755,12.37,16.698,6.1564,6.2655,8.2516,4.1648,8.3482,4.1694,9.3902,9.4085,3.1085,4.1757,0,2.0728,5.2284,1.0396,11.491,5.1591,6.2698,3.1364,0,5.2267,6.2452,6.1976,5.1962,33.799,5.2315,0,8.3516,0,7.3071,10.358,6.2339,1.0415,15.484,16.456,5.2149,15.486,0,6.2594,3.1257,9.4103,2.0627,12.315,11.479,7.3137,9.4084,6.2657,2.092,11.373,4.1832,17.517,7.2585,3.11,7.3186,5.2261,15.669,9.3996
1.17.1.4,3546.3,1294.6,1270.3,2582.9,2554.5,59.546,3493.9,1915.5,4940.1,2845.6,2533.6,8539.3,2711.2,2136.4,2540.5,1627.5,2951.9,6251.6,1471.9,2728.5,193.48,870.34,2146.3,79.816,2183.7,1533.2,3242.5,2084.4,49.567,4691.3,1451.7,5245.4,1378.5,1990.6,2302.2,42.399,2597.3,49.155,2771.4,1436.3,1466.9,1378.3,3736.8,1382.7,2760.1,2576.1,55.699,2210.5,1926.9,4448.3,2066.4,60740,2465,3229.5,1914.5,6012.8,2151.1,1579.2,2351.2,920.25,1781.3,1686.9,3034.8,2490.8,2318.2,2303.5
1.17.1.8,6991.5,2542.1,1828.7,5388,5475.1,121.3,7479,4237.1,13412,6136.8,6171.9,12954,5675.2,4271.7,5826.7,3416.3,6192.5,10023,2745,5131.8,443.16,1773.6,4488.4,143,4553.2,2782.2,6167.4,4333.7,88.994,7394.3,2825.6,10008,2992.8,3572.5,5036.5,91.493,5544.7,140.76,5687.9,2870.5,3144.9,2721,9055.9,3406.7,5670.5,5943.9,116.97,4741.5,4140.9,7146.2,4919.2,1.75E+05,5199.4,6418.5,3771,9825.7,4279.5,2766.1,4547.3,2295.7,3587.9,3601,6643.5,5257.4,4750.8,4678.2
1.17.1.9,4494.8,1613.7,1068.8,3194.2,3335.8,90.421,4819,2330.6,18762,3780.7,3785.8,7360.6,3780.2,2414.4,3440.2,2006.3,3727,5887,1655.2,3174,344.8,1019.4,2688.7,75.382,2740.2,1631.5,4183,2567.7,55.199,4471.9,1653.1,6561.9,1707.8,2418.5,2834.1,49.094,3201.3,79.319,3390,1591,1998.6,1635.3,5276.3,2358.1,3412.2,3983.3,71.295,2716.5,2435.6,4354.5,3111.2,1.27E+05,2901.6,3967.1,2106.6,5665.5,2598,1727.9,2833.7,1272,2163.8,2172.3,3758.1,2968.9,2777.8,2651.3
1.17.4.1,15600,7899.8,5266.6,11659,12128,312.02,20990,8784.4,44964,13723,18752,24211,15757,9307.3,12827,7258.6,13935,20611,6572,12094,1321.4,4317.7,9670,334.54,9947.7,7584.4,13921,9210.7,236.57,14561,6452.9,26617,6536.9,11938,10262,225.28,12236,309.38,12504,6612.1,7370.6,6261,23649,10848,12223,17157,275.1,9956,9436.6,14488,13123,5.34E+05,10880,13931,7602.2,19084,8686.7,7408.7,9712.9,5743.1,8456.1,9252.7,13940,10321,10086,9910.7
1.17.4.2,427.33,251.11,193.43,306.41,410.01,14.384,554.63,316.26,809.68,359.37,547.51,491.08,509.11,264.16,316.44,205.13,368.57,482.46,245.18,274.25,56.739,108.08,229.51,19.085,283.03,220.96,324.25,285.16,5.6326,347.18,216.14,641.69,180.49,370.05,243.91,11.264,411.44,6.7748,352.78,209.45,171.64,197.72,583.34,322.17,379.27,526.59,13.42,271.25,294.58,346.49,368.21,27401,338.02,389.16,221.61,506.61,298.84,212.59,287.61,179.1,249.39,202.93,416.56,299.95,313.99,377.12
1.17.7.3,3702.4,1408.1,1037.7,2734.9,2755.4,89.319,4382.1,1973.1,7381.6,3235.9,3788.7,7167,3630.8,2319.5,3100.3,1746.8,3425.8,5744.1,1563.5,3040.8,196.72,1033,2340.7,79.816,2431.1,1628.3,3161.4,2198.5,43.934,4090.3,1471.2,5457.3,1530.9,2557.5,2559.6,59.136,2789.7,72.616,3025.1,1607.7,1776.4,1431.1,5194.6,1973.3,2991.3,3598.3,59.041,2462.9,2027,4081.1,2503.9,80911,2673.2,3466,1796.2,5160.5,2162.1,1703.2,2491.9,1166.4,1982.7,2175.3,3315.3,2608.4,2500.5,2448.3
1.17.7.4,4092.1,2172.7,1066.4,2802.5,2852.5,79.394,4543.6,2019,8651.8,3222.5,3660.6,7509.2,3572.8,2292.7,3098.1,1809.6,3703.4,5518.9,1527.1,3145.5,197.8,1042.9,2371.1,70.948,2396.4,1641.2,3379.1,2345.4,59.705,4196,1526.8,6917.7,1543.1,2600,2643.6,50.209,3002.2,73.733,2893.4,1615.4,1670.3,1394.4,5061.8,2353.8,3016,3196,64.611,2505.7,2156.2,3950.6,2902.6,79146,2756.3,3532.4,1790.5,5247.6,2308.1,1777.5,2503.2,1303.6,2048.8,2280.1,3352.4,2679.6,2548,2553.3
1.18.1.2,5524.8,2545.3,1744.4,4538.8,4567.6,129.28,6672.8,3533.5,15317,5149.3,5835.2,10056,5874.1,3409.9,4811.7,2870.6,5060.3,8099.7,2469.2,4420.8,419.48,1753.6,3793.7,107.08,3760.8,2597.1,5090,3640.3,76.495,5726.3,2438.8,8852.2,2413.1,3755.8,3948.7,74.518,4874,106.76,4778.8,2643.4,2719,2560.9,8473.8,3972.9,4782,6281.1,108.84,3865.2,3565.4,5924.3,4157.3,1.64E+05,4451.9,5426.8,3122.6,7641,3613.9,2610.6,3860,2049.5,3187.5,2835.3,5265.2,4111.7,4097.9,3845.5
1.18.1.3,71.98,16.434,10.249,35.475,37.542,5.1712,55.77,33.404,226.79,39.658,47.199,114.87,83.547,65.595,55.307,20.847,44.864,52.27,19.687,33.412,0,17.619,40.782,1.0396,32.385,22.7,81.507,36.592,0,60.629,38.512,81.601,17.667,23.557,50.222,3.1049,58.471,2.0729,44.886,31.075,54.027,33.327,87.742,34.976,49.02,26.842,1.0366,18.778,28.132,64.827,57.754,158.17,50.092,28.21,53.315,65.789,41.839,22.746,38.695,21.639,30.071,54.944,48.094,40.772,47.006,42.82
1.18.6.1,1304,783.71,475.55,1017.3,1027.2,36.199,2079,877.9,4959.4,1186.6,1805.9,1817,1483.2,801.72,1058.1,652.51,1160.2,1423.8,588.54,930.31,85.756,432.18,730.93,24.951,764.7,751.16,1232,734.97,23.775,1035.9,617.24,2174.3,591.33,1208.6,893.54,15.525,1008.6,34.203,1052.2,665.01,617.16,556.14,2157.4,974.19,1020,1726.2,22.804,885.7,793.93,1058.1,1237.6,25945,927.75,1201.5,673.23,1317.9,787.62,679.28,881.61,511.08,738.3,799.28,1182.5,799.77,958.93,840.74
1.1.98.6,3603.4,1710.5,1366.6,2632.4,2855.8,90.03,5585.5,1906.6,16001,3216.4,4661.4,4794.5,3859.4,2081,3023,1683,3210.2,3941.8,1535,2795.5,428.11,1089.4,2093.2,68.635,2313.8,1911.5,3433.9,2096.6,56.854,2949.1,1592.9,6672.3,1544.7,2951.9,2375,47.609,2809.2,80.868,2795.4,1690,1600.3,1438.6,5548.6,2715.9,2755.2,4369.1,76.705,2214.3,2278.2,2743.9,3080.4,1.72E+05,2473.9,3143.8,1742,3912.1,2065.7,1814.9,2316.3,1539.7,2072.3,2163.5,3128.1,2308.4,2270.5,2194.1
1.1.99.3,895.37,506.47,354.71,864.23,786.43,20.697,1522.2,628.57,2371.3,907.19,1351.6,3144.8,1057.4,650.97,896.66,548.49,905.86,2190,621.87,766.5,49.517,313.05,719.71,18.719,675.11,544.97,722.31,717.34,14.472,1482.9,495.57,2487.9,459.45,783.55,732.71,21.734,823.96,22.809,889.7,484.92,522.71,482.3,1743.9,766.42,823.11,983.06,23.841,770.09,649.27,1563.9,1029.5,19462,756.78,897.78,490.39,2118.5,649.84,551.21,734.42,455.52,592.23,536.21,1051.1,773.65,720.96,755.41
1.2.1.10,1756.3,522.09,396.67,1261.7,1280.2,44.816,1827.9,773.11,2515.8,1448.5,1350.5,2824.9,1244.4,946.66,1332.5,791.98,1430.9,2171.7,567.8,1175.9,186.96,372.77,1032.8,25.226,1011.3,528.94,1317.2,1051.3,18.778,1752.2,607.03,2086.7,721.87,614.88,997.06,16.615,1313.2,42.006,1354.3,624.53,701.99,573.35,1926.3,761.2,1300.1,1439.8,28.458,1047.7,1030.5,1541.6,1061.4,76115,1163,1392,738.24,2128.9,952.36,559.91,1026.4,436.95,734.47,894.56,1441.1,1122.4,1076.9,1102.7
1.2.1.11,2293.1,923.61,595.01,1538.4,1564.4,30.606,2540.4,1025.7,5801.1,1761.3,2267.4,3922.7,1987.1,1183.3,1498.3,965.05,1724.3,2912.4,929.33,1460,204.35,495.94,1159.2,28.516,1208.7,908.77,1710.4,1088.5,23.196,2086.7,801.37,3355.4,843.27,1289.5,1181.3,19.937,1531,46.428,1599,809.49,900.38,838.65,3115.4,1389.7,1570,1777.2,32.836,1244.1,1152.1,2204.7,1593.7,81843,1317.4,1722.7,935.98,2894.4,1217.4,860.99,1214.3,772.73,1090.2,1223.4,1802.2,1388.4,1268.3,1290.7
1.2.1.12,5483.5,2290.7,1596.3,4276.1,4280.1,163.96,7032.2,3068.4,19485,4758.1,5754.9,9381,5449.9,3317.7,4442.3,2733,4788.9,7832.7,2299.4,4126.4,415.22,1584.8,3522.8,107.48,3526.3,2342.1,4921.5,3229.5,85.053,5276.3,2275.3,8907.3,2277.2,3504.6,3741.5,84.18,4124.5,112.75,4219.7,2302.3,2464.6,2329.6,8249.2,3282.9,4382.9,5629.8,103.98,3576.6,3229.6,5491.5,4421.1,1.56E+05,4041.9,4911.9,2641,7032.8,3289.3,2381.5,3518.8,1858.6,3110.3,3118.9,4903.9,3694.7,3792.7,3668.8
1.2.1.19,3799.6,919.31,570.35,3252.7,2980.2,79.794,3580,2356.5,6063.3,3566.4,2560.8,9358,2421.2,2616.5,3539.3,2172.2,3362.4,7085.5,1411.4,2900.3,172.83,808.76,2992.7,82.258,2894.5,1082.9,3536.2,2896.9,60.752,5383.4,1602.7,5135.8,1547.6,1092,2956.1,47.628,3251.2,71.852,3799.4,1279.5,1679.8,1247.6,4099.7,1321.2,3551.3,2508.6,73.333,2727.4,2310.7,5167.6,2026.7,58546,3321.3,4028.1,2224.6,7006.5,2859.3,1105.7,3069.4,871.75,1647.9,2273.7,3989.6,3354,3213.3,3214.8
1.2.1.27,5701.6,1962.4,1184.7,4663.2,4123.7,84.166,6330.5,3193,11253,4899.7,4552.1,14442,4736.6,3735.1,4537.8,2825,4903.5,11004,2429.7,3788.8,305.43,1381,3866,117.35,3675.4,1745.7,4883.1,3694.4,83.948,8047.2,2239.2,9017,2408.4,2235.3,4049.7,59.812,4241.6,97.277,5144.9,2149.9,2637.9,2068.7,6780.4,2141.1,4580.4,3672,72.239,3769.7,3294.2,7990.5,3850.6,1.06E+05,4347.4,5363.2,2967.2,10401,3574.1,1979.7,3902.4,1507.8,2725.1,3069.6,5619.5,4451.1,3972.1,3704
1.21.3.1,1.0432,0,0,0,0,0,1.0328,2.0877,1.0308,1.0436,0,0,0,0,0,0,0,1.0454,0,0,0,0,0,0,2.0894,0,2.0899,0,0,1.0453,0,0,0,0,0,0,0,0,0,1.0358,0,0,0,0,0,0,0,5.2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0452,0,1.0444
1.2.1.38,8171.1,2963.5,2221.4,6309.8,6140.8,170.52,9826,4699.9,18877,7141.6,7941.4,16812,7729.3,4923.9,6745.8,4094.6,6778.3,12427,3597.9,6071.6,493.48,2257.3,5291.4,171.1,5263.6,3554.6,6722.1,4990.8,115.98,9314.1,3351.8,13569,3582,4918,5826.6,108.55,6405,130.44,6816.3,3425.1,3786.8,3174.8,11547,4695.5,6761.5,7597.5,152.14,5389,4907.3,9377.9,6023.5,1.88E+05,5946.2,7593,3997.7,12141,4910.3,3580.4,5569.5,2692.7,4401.3,4550.6,7269.1,5604.2,5563.9,5612.6
1.2.1.41,9823.3,5034.7,3819.9,7525.6,7781.8,195.66,14059,5781.3,18747,8932.5,11772,17554,10230,6018.5,8284.7,5185.6,8831.9,14106,4517.4,7377.6,773.91,2995.2,6532,214.97,6613.8,5932.6,9084,6103.4,171.21,10674,4014.5,14893,4369.5,10308,6923.5,151.75,7950.2,227.72,8345,4529.4,4864.9,4334.7,16076,8340.5,7945.2,11103,210.15,6579.4,6235.7,9822.1,8351.3,2.73E+05,7130,9409.9,5041.3,13053,6283.8,5525.5,6868.4,3582.8,5393.4,6127.1,9209.6,7064.1,6901.1,6652.7
1.21.4.1,283.75,310.2,117.86,293.19,267.96,11.377,856.17,197.29,833.95,379.88,448.39,326.85,521.91,238.43,352.71,162.61,245.19,284.35,153.35,228.62,16.498,102.6,195.54,3.1189,252.81,199.14,295.72,172.5,13.438,229.97,145.72,968.89,161.08,174.12,217.63,4.1399,285,17.62,284.98,170.91,171.43,117.68,755.61,423.74,253.44,1124.3,2.0731,200.3,180.25,220.62,443.47,5179.4,252.55,269.56,148.44,310.15,216.52,139.58,204.98,197.84,206.35,187.64,291.7,176.64,279.95,266.32
1.2.1.50,1780.4,737.38,601.44,1319.7,1321.7,49.188,2244.8,941.5,4698.5,1598.8,2196.2,2601.6,1766.8,1058.4,1458.8,886.18,1730.8,2232.9,846.82,1722.3,97.826,518.83,1029.5,26.322,1104.5,990.4,1546.8,1010.9,26.51,1555.4,706.38,3000.2,743.74,1571.4,1136.4,23.26,1370.1,35.373,1394.9,812.75,809.91,763.01,2583.2,1174.4,1448.2,1499.7,24.08,1152,976.86,1539.5,1547.9,38506,1240.7,1680,890.94,2111.4,968.85,937.88,1220.9,638.2,1040,981.17,1601.3,1119.1,1222.3,1114.8
